"LOCATION",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-01,101.5028,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-02,101.4815,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-03,101.3081,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-04,101.0173,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-05,100.8456,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-06,100.8856,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-07,101.0993,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-08,101.2771,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-09,101.4614,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-10,101.6086,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-11,101.4055,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1973-12,100.7577,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-01,99.8341,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-02,99.39653,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-03,99.49729,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-04,99.91687,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-05,100.2221,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-06,100.3005,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-07,100.2143,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-08,100.1216,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-09,100.0452,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-10,99.96442,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-11,99.89245,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1974-12,99.7975,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-01,99.67502,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-02,99.64259,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-03,99.58541,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-04,99.50676,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-05,99.42613,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-06,99.29891,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-07,99.09701,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-08,98.93607,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-09,98.80039,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-10,98.70384,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-11,98.82559,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1975-12,99.2886,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-01,100.0379,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-02,100.5367,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-03,100.6067,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-04,100.4066,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-05,100.2031,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-06,100.0938,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-07,100.0518,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-08,100.0351,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-09,100.0286,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-10,100.0607,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-11,100.2098,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1976-12,100.5723,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-01,101.1134,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-02,101.4637,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-03,101.491,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-04,101.268,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-05,101.0448,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-06,100.8365,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-07,100.6457,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-08,100.5122,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-09,100.3858,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-10,100.2596,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-11,100.2966,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1977-12,100.638,
NLD,CCI,AMPLITUD,LTRENDIDX,M,1978-01,101.2069,
