LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-01,99.0903,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-02,98.99325,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-03,98.96785,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-04,99.0374,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-05,99.18633,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-06,99.29073,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-07,99.19662,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-08,98.75197,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-09,97.85533,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-10,96.87775,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-11,96.10492,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-12,95.66925,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-01,95.70914,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-02,95.94103,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-03,96.34669,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-04,96.96416,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-05,97.64111,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-06,98.32642,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-07,99.0297,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-08,99.61314,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-09,99.95189,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-10,100.1915,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-11,100.3183,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-12,100.556,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-01,100.8984,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-02,101.1438,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-03,101.3486,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-04,101.286,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-05,100.9913,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-06,100.6431,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-07,100.4483,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-08,100.4225,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-09,100.5393,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-10,100.7786,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-11,101.0329,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-12,101.2314,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-01,101.3809,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-02,101.4364,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-03,101.3321,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-04,101.0635,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-05,100.6319,
