"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-01""";1.015.028;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-02""";1.014.815;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-03""";1.013.081;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-04""";1.010.173;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-05""";1.008.456;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-06""";1.008.856;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-07""";1.010.993;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-08""";1.012.771;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-09""";1.014.614;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-10""";1.016.086;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-11""";1.014.055;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1973-12""";1.007.577;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-01""";998.341;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-02""";9.939.653;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-03""";9.949.729;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-04""";9.991.687;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-05""";1.002.221;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-06""";1.003.005;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-07""";1.002.143;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-08""";1.001.216;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-09""";1.000.452;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-10""";9.996.442;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-11""";9.989.245;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-12""";997.975;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-01""";9.967.502;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-02""";9.964.259;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-03""";9.958.541;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-04""";9.950.676;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-05""";9.942.613;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-06""";9.929.891;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-07""";9.909.701;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-08""";9.893.607;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-09""";9.880.039;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-10""";9.870.384;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-11""";9.882.559;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-12""";992.886;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-01""";1.000.379;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-02""";1.005.367;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-03""";1.006.067;""""
